State,Region,City,seller_type,name
Illinois,Central,Chicago,Individual,Hyundai i20 Sportz Diesel
New York,East,New York City,Individual,Hyundai Xcent 1.2 VTVT E Plus
California,West,Los Angeles,Individual,Maruti Wagon R LXI DUO BSIII
California,West,Los Angeles,Individual,Maruti 800 DX BSII
California,West,Los Angeles,Individual,Toyota Etios VXD
Texas,Central,Houston,Individual,Ford Figo Diesel Celebration Edition
New York,East,New York City,Individual,Renault Duster 110PS Diesel RxL
Texas,Central,Houston,Individual,Maruti Zen LX
Texas,Central,Houston,Individual,Maruti Swift Dzire VDi
Massachusetts,East,Boston,Individual,Maruti Wagon R LXI Minor
Massachusetts,East,Boston,Individual,Mahindra KUV 100 mFALCON G80 K8 5str
Texas,Central,Dallas,Individual,Maruti Ertiga SHVS VDI
Texas,Central,Dallas,Individual,Maruti Alto LX
New York,East,New York City,Individual,Hyundai i20 2015-2017 Asta 1.4 CRDi
New York,East,New York City,Individual,Mahindra Verito 1.5 D4 BSIII
Texas,Central,Dallas,Individual,Maruti Swift Dzire ZDI
New York,East,New York City,Individual,Maruti SX4 ZDI
California,West,Los Angeles,Individual,Maruti Baleno Delta 1.2
Washington,West,Seattle,Individual,Maruti Alto 800 LXI
Massachusetts,East,Boston,Individual,Chevrolet Enjoy TCDi LTZ 7 Seater
Georgia,South,Atlanta,Individual,Maruti Wagon R LXI Minor
New York,East,New York City,Individual,Maruti Omni E MPI STD BS IV
Illinois,Central,Chicago,Individual,Maruti Vitara Brezza LDi Option
Washington,West,Seattle,Individual,Hyundai i20 1.2 Asta Dual Tone
Washington,West,Seattle,Individual,Maruti Vitara Brezza LDi
Washington,West,Seattle,Individual,Maruti Alto 800 CNG LXI Optional
Washington,West,Seattle,Individual,Maruti Alto K10 VXI Airbag
District of Columbia,East,Washington,Individual,Hyundai Verna VTVT 1.6 SX Option
California,West,Los Angeles,Individual,Datsun GO D
California,West,Los Angeles,Individual,Maruti 800 Std
New York,East,New York City,Dealer,Honda City i VTEC VX
New York,East,New York City,Dealer,Honda City V MT
New York,East,New York City,Dealer,Maruti Swift Dzire VXi AT
Illinois,Central,Chicago,Dealer,Maruti Vitara Brezza VDi
New York,East,New York City,Dealer,Maruti Alto K10 VXI
Washington,West,Seattle,Dealer,Toyota Fortuner 4x4 MT
New York,East,New York City,Dealer,Toyota Innova 2.5 G (Diesel) 7 Seater BS IV
New York,East,New York City,Dealer,Mercedes-Benz B Class B180
Washington,West,Seattle,Dealer,Mitsubishi Pajero Sport 4X4
California,West,Los Angeles,Dealer,Honda City i DTEC S
New York,East,New York City,Dealer,Maruti Ciaz Zeta
Georgia,South,Atlanta,Dealer,Honda Jazz VX Diesel
Massachusetts,East,Boston,Dealer,Toyota Innova Crysta 2.8 ZX AT BSIV
Georgia,South,Atlanta,Dealer,Toyota Innova 2.5 G (Diesel) 7 Seater
Georgia,South,Atlanta,Dealer,Audi A6 2.0 TDI Technology
Florida,South,Miami,Dealer,Toyota Corolla Altis 1.8 VL CVT
Massachusetts,East,Boston,Dealer,Audi A6 2.0 TDI  Design Edition
Massachusetts,East,Boston,Dealer,Mercedes-Benz New C-Class 220 CDI AT
California,West,San Diego,Individual,Hyundai i10 Magna
California,West,San Francisco,Individual,Hyundai i20 Asta 1.4 CRDi
District of Columbia,East,Washington,Individual,Ford Figo 1.2P Titanium MT
New York,East,New York City,Individual,Maruti Baleno Delta 1.2
District of Columbia,East,Washington,Individual,Volkswagen Ameo 1.5 TDI Highline 16 Alloy
District of Columbia,East,Washington,Individual,Honda City i DTEC VX
District of Columbia,East,Washington,Individual,Maruti Wagon R AMT VXI
Illinois,Central,Chicago,Individual,Volkswagen Ameo 1.5 TDI Comfortline
Massachusetts,East,Boston,Individual,Maruti Vitara Brezza VDi
Massachusetts,East,Boston,Individual,Maruti Vitara Brezza ZDi Plus AMT
New York,East,New York City,Individual,Hyundai i10 Magna
California,West,Los Angeles,Individual,Maruti Swift VDI Deca
California,West,Los Angeles,Individual,Toyota Fortuner 4x4 MT
Texas,Central,Dallas,Individual,Maruti Swift Star VDI
Florida,South,Miami,Individual,Maruti Ertiga ZXI
North Carolina,South,Charlotte,Individual,Volkswagen Vento Diesel Highline
Illinois,Central,Chicago,Individual,Ford EcoSport 1.5 TDCi Titanium Plus BSIV
Illinois,Central,Chicago,Individual,BMW X1 sDrive20i xLine
Florida,South,Miami,Dealer,Maruti Celerio ZXI MT BSIV
Florida,South,Miami,Dealer,Datsun GO A Petrol
Florida,South,Miami,Dealer,Maruti Alto 800 VXI BSIV
New York,East,New York City,Dealer,Maruti Alto 800 LXI BSIV
Florida,South,Miami,Dealer,Hyundai i10 Era 1.1
Michigan,Central,Detroit,Dealer,Maruti Omni 8 Seater BSIV
Michigan,Central,Detroit,Dealer,Maruti Wagon R LXI LPG BSIV
North Carolina,South,Charlotte,Dealer,Volkswagen Polo 1.2 MPI Comfortline
Pennsylvania,East,Philadelphia,Dealer,Volkswagen Vento Petrol Highline
Pennsylvania,East,Philadelphia,Dealer,Hyundai i20 Asta Optional with Sunroof 1.2
Massachusetts,East,Boston,Individual,Maruti Swift Dzire LDI
Georgia,South,Atlanta,Dealer,Hyundai Xcent 1.2 Kappa SX Option AT
California,West,Los Angeles,Dealer,Maruti Alto LX BSIII
California,West,Los Angeles,Individual,Hyundai i20 1.4 Asta Option
Pennsylvania,East,Philadelphia,Individual,Maruti Eeco 7 Seater Standard BSIV
Pennsylvania,East,Philadelphia,Individual,Maruti Baleno Zeta 1.2
Pennsylvania,East,Philadelphia,Individual,Mahindra Scorpio VLX AT AIRBAG BSIV
Texas,Central,Houston,Individual,Ford Freestyle Titanium Petrol BSIV
California,West,Los Angeles,Individual,Volkswagen Passat 1.8 TSI MT
Illinois,Central,Chicago,Individual,Tata Indica Vista Aura 1.2 Safire (ABS) BS IV
New York,East,New York City,Individual,Mahindra XUV500 W11 Option AWD
New York,East,New York City,Individual,Tata Indigo CS LS (TDI) BS-III
New York,East,New York City,Individual,Toyota Corolla Altis G
New York,East,New York City,Individual,Maruti Celerio VXI
California,West,Los Angeles,Individual,Maruti Vitara Brezza ZDi Plus Dual Tone
California,West,Los Angeles,Individual,Maruti Swift Dzire VXI
California,West,Los Angeles,Individual,Maruti Wagon R VXI BS IV
Pennsylvania,East,Philadelphia,Individual,Hyundai Creta 1.6 CRDi SX
New York,East,New York City,Individual,Ford EcoSport 1.5 Diesel Titanium Plus BSIV
North Carolina,South,Charlotte,Individual,Maruti Swift Dzire VDi
Massachusetts,East,Boston,Individual,Maruti Alto LXi
California,West,San Francisco,Individual,Maruti Ertiga VDI
Washington,West,Seattle,Individual,Hyundai Santro Xing GLS
District of Columbia,East,Washington,Dealer,Honda Amaze S i-VTEC
Washington,West,Seattle,Dealer,Audi Q5 35TDI Premium Plus
Washington,West,Seattle,Dealer,Lexus ES 300h
New York,East,New York City,Dealer,Jaguar XF 2.0 Diesel Portfolio
California,West,Los Angeles,Individual,Jeep Wrangler 2016-2019 3.6 4X4
California,West,Los Angeles,Dealer,Land Rover Discovery Sport TD4 SE
California,West,Los Angeles,Dealer,Mercedes-Benz S-Class S 350 CDI
California,West,Los Angeles,Dealer,BMW 5 Series 520d Sport Line
New York,East,New York City,Dealer,BMW X4 M Sport X xDrive20d
California,West,San Diego,Dealer,Skoda Superb LK 1.8 TSI AT
California,West,San Diego,Dealer,Mercedes-Benz E-Class E250 Edition E
California,West,San Diego,Dealer,MG Hector Sharp AT BSIV
Washington,West,Seattle,Dealer,Honda City i-VTEC CVT VX
District of Columbia,East,Washington,Dealer,Toyota Corolla Altis 1.8 G CVT
District of Columbia,East,Washington,Dealer,Volvo XC40 D4 R-Design
California,West,Los Angeles,Dealer,Maruti Ciaz ZDi
California,West,Los Angeles,Dealer,Mercedes-Benz S-Class S 350 CDI
District of Columbia,East,Washington,Dealer,Hyundai Elantra S
New York,East,New York City,Individual,Hyundai Elantra SX
Illinois,Central,Chicago,Dealer,Mercedes-Benz CLA 200 CGI Sport
Texas,Central,Houston,Dealer,Maruti Ertiga ZXI
Massachusetts,East,Boston,Dealer,Mercedes-Benz New C-Class C 200 AVANTGARDE
Massachusetts,East,Boston,Dealer,Honda City V AT
Massachusetts,East,Boston,Dealer,Toyota Glanza V CVT
Washington,West,Seattle,Dealer,Maruti Swift VXI
Washington,West,Seattle,Dealer,Toyota Innova Crysta 2.8 ZX AT BSIV
New York,East,New York City,Dealer,Tata Nexon 1.5 Revotorq XZA Plus DualTone
Florida,South,Miami,Dealer,BMW 3 Series 320d Luxury Line
New York,East,New York City,Dealer,Toyota Camry 2.5 Hybrid
District of Columbia,East,Washington,Dealer,BMW 5 Series 520d Luxury Line
New York,East,New York City,Dealer,Toyota Camry W4 (AT)
California,West,Los Angeles,Individual,Maruti Ertiga BSIV ZXI Plus
New York,East,New York City,Individual,Volvo XC90 T8 Excellence BSIV
North Carolina,South,Charlotte,Individual,Volkswagen Vento Diesel Highline
Texas,Central,Houston,Individual,Ford Figo Aspire 1.2 Ti-VCT Trend
Texas,Central,Houston,Individual,Ford Figo Diesel LXI
District of Columbia,East,Washington,Individual,Maruti Wagon R AMT VXI
Washington,West,Seattle,Individual,Hyundai i20 Magna 1.2
District of Columbia,East,Washington,Individual,Maruti 800 Std
District of Columbia,East,Washington,Individual,Maruti Ritz VDi
New York,East,New York City,Individual,Volkswagen Ameo 1.0 MPI Trendline
Texas,Central,Dallas,Individual,Hyundai Grand i10 Sportz
Florida,South,Miami,Individual,Maruti Swift Dzire VXI
Pennsylvania,East,Philadelphia,Individual,Hyundai Xcent 1.2 Kappa S
California,West,Los Angeles,Individual,Toyota Corolla Altis Diesel D4DG
Massachusetts,East,Boston,Individual,Daewoo Matiz SD
Massachusetts,East,Boston,Individual,Toyota Fortuner 4x2 Manual
California,West,Los Angeles,Individual,Mahindra KUV 100 mFALCON G80 K8
California,West,Los Angeles,Individual,Tata Zest Quadrajet 1.3 75PS XM
California,West,Los Angeles,Individual,Honda City 1.5 S MT
Georgia,South,Atlanta,Individual,Maruti Zen LXI
Washington,West,Seattle,Individual,Maruti Wagon R VXI BS IV with ABS
Illinois,Central,Chicago,Individual,Hyundai Verna Transform SX VTVT
Georgia,South,Atlanta,Individual,Hyundai Getz GLS
Georgia,South,Atlanta,Individual,Hyundai Elite i20 Sportz Plus BSIV
California,West,Los Angeles,Individual,Maruti Ciaz 1.3 Alpha
Pennsylvania,East,Philadelphia,Individual,Tata Tigor 1.2 Revotron XZ
California,West,San Francisco,Individual,Maruti Ertiga VDI
California,West,Los Angeles,Individual,Honda City i VTEC S
Illinois,Central,Chicago,Individual,Maruti Wagon R LXI CNG
Illinois,Central,Chicago,Individual,Maruti Swift Dzire VXI
Massachusetts,East,Boston,Individual,Hyundai i20 Sportz 1.2
Texas,Central,Houston,Individual,Maruti Wagon R AMT VXI
