sales_id,ad_placed_on,sold_on,original_selling_price,Region,State,City,seller_type,owner,car_id
1,11/4/2020 9:15:00 PM,null,450000,East,District of Columbia,Washington,Individual,First Owner,123477
2,11/5/2020 12:15:00 AM,null,370000,East,New York,New York City,Individual,Second Owner,123478
3,11/13/2020 3:24:00 PM,null,158000,Central,Illinois,Chicago,Individual,Third Owner,123479
4,11/15/2020 12:16:00 PM,1/9/2021 7:47:00 AM,225000,Central,Illinois,Chicago,Individual,First Owner,123480
5,12/2/2020 10:07:00 PM,null,130000,East,New York,New York City,Individual,First Owner,123481
6,12/3/2020 9:44:00 AM,12/26/2020 2:02:00 PM,440000,East,New York,New York City,Individual,First Owner,123482
7,12/3/2020 4:56:00 PM,12/27/2020 6:19:00 PM,96000,West,California,Los Angeles,Individual,First Owner,123483
8,12/3/2020 9:01:00 PM,1/8/2021 10:58:00 AM,45000,West,California,Los Angeles,Individual,Second Owner,123484
9,12/3/2020 9:13:00 PM,1/3/2021 10:58:00 AM,350000,West,California,Los Angeles,Individual,First Owner,123485
10,12/3/2020 10:06:00 PM,12/31/2020 11:07:00 AM,200000,Central,Texas,Houston,Individual,First Owner,123486
11,12/3/2020 10:31:00 PM,12/14/2020 4:08:00 PM,500000,East,New York,New York City,Individual,Second Owner,123487
12,12/3/2020 10:44:00 PM,1/3/2021 2:04:00 PM,92000,Central,Texas,Houston,Individual,Second Owner,123488
13,12/3/2020 10:51:00 PM,1/1/2021 3:14:00 PM,280000,Central,Texas,Houston,Individual,Second Owner,123489
15,12/4/2020 9:06:00 AM,12/22/2020 2:51:00 PM,180000,East,Massachusetts,Boston,Individual,Second Owner,123491
16,12/4/2020 9:16:00 AM,12/24/2020 4:33:00 PM,400000,East,Massachusetts,Boston,Individual,First Owner,123492
17,12/4/2020 9:59:00 AM,1/18/2021 8:51:00 AM,778000,Central,Texas,Dallas,Individual,Second Owner,123493
18,12/4/2020 10:05:00 AM,null,500000,Central,Texas,Dallas,Individual,Second Owner,123494
19,12/4/2020 10:16:00 AM,1/8/2021 10:41:00 AM,150000,Central,Texas,Dallas,Individual,Second Owner,123495
20,12/4/2020 10:41:00 AM,12/24/2020 4:29:00 PM,680000,East,New York,New York City,Individual,First Owner,123496
21,12/4/2020 11:03:00 AM,1/17/2021 7:14:00 PM,174000,East,New York,New York City,Individual,Second Owner,123497
22,12/4/2020 11:44:00 AM,null,950000,East,New York,New York City,Individual,First Owner,123498
23,12/4/2020 12:06:00 PM,12/26/2020 4:41:00 PM,525000,Central,Texas,Dallas,Individual,First Owner,123499
24,12/4/2020 12:53:00 PM,1/9/2021 1:37:00 PM,600000,East,New York,New York City,Individual,First Owner,123500
25,12/4/2020 1:02:00 PM,null,500000,East,New York,New York City,Individual,First Owner,123501
26,12/4/2020 1:11:00 PM,12/11/2020 1:46:00 PM,575000,West,California,Los Angeles,Individual,First Owner,123502
27,12/4/2020 1:15:00 PM,12/17/2020 11:25:00 AM,275000,West,Washington,Seattle,Individual,First Owner,123503
28,12/4/2020 1:15:00 PM,1/1/2021 6:07:00 PM,300000,East,Massachusetts,Boston,Individual,First Owner,123504
29,12/4/2020 1:16:00 PM,12/17/2020 8:24:00 PM,220000,South,Georgia,Atlanta,Individual,First Owner,123505
30,12/4/2020 1:22:00 PM,1/25/2021 1:17:00 PM,254999,East,New York,New York City,Individual,First Owner,123506
31,12/4/2020 1:30:00 PM,12/28/2020 5:05:00 PM,670000,Central,Illinois,Chicago,Individual,First Owner,123507
33,12/4/2020 1:38:00 PM,null,150000,Central,Illinois,Chicago,Individual,Second Owner,123509
